Canton;Libellé du canton;Code de la circonscription;Libellé de la circonscription;Numéro du bureau;Libellé du bureau;Adresse - ligne 1;CP
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0101;HOTEL DE VILLE BV 101;9 RUE BRULEE;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0102;ECOLE MAT LOUIS PASTEUR BV 102;12 RUE DES VEAUX;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0103;HOTEL DE VILLE BV 103;9 RUE BRULEE;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0104;E.N.G.E.E.S. BV 104;1, QUAI KOCH;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0105;ECOLE MAT SAINT-JEAN  BV 105;13 RUE DES BONNES GENS;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0106;ECOLE MAT SAINT-JEAN  BV 106;13 RUE DES BONNES GENS;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0107;PALAIS DES FETES  BV 107;5 RUE SELLENICK;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0108;PALAIS DES FETES  BV 108;5 RUE SELLENICK;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0109;PALAIS DES FETES  BV 109;5 RUE SELLENICK;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0110;ECOLE ELE SCHOEPFLIN BV 110;6 QUAI SCHOEPFLIN;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0111;ECOLE ELE SCHOEPFLIN BV 111;6 QUAI SCHOEPFLIN;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0112;LYCEE KLEBER BV 112;45, RUE JACQUES KABLE;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0113;LYCEE KLEBER BV 113;45, RUE JACQUES KABLE;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0114;LYCEE KLEBER BV 114;45, RUE JACQUES KABLE;67000
01;CENTRE-NORD;01;1ERE CIRCONSCRIPTION;0115;ECOLE MAT SAINT-JEAN  BV 115;13 RUE DES BONNES GENS;67000
02;CENTRE-OUEST;01;1ERE CIRCONSCRIPTION;0201;HOTEL DE VILLE BV 201;9 RUE BRULEE;67000
02;CENTRE-OUEST;01;1ERE CIRCONSCRIPTION;0202;ECOLE MAT DU FINKWILLER  BV 202;1 RUE DE LA QUESTION;67000
02;CENTRE-OUEST;01;1ERE CIRCONSCRIPTION;0203;LYCEE D'ENS PROF ECO CH. FREY  BV 203;3 QUAI CHARLES FREY;67000
02;CENTRE-OUEST;01;1ERE CIRCONSCRIPTION;0204;ECOLE ELE SAINT-THOMAS BV 204;2, RUE DE LA MONNAIE;67000
02;CENTRE-OUEST;01;1ERE CIRCONSCRIPTION;0205;ECOLE ELE SAINT-THOMAS BV 205;2 , RUE DE LA MONNAIE;67000
