REGION;DEP;AR;CANTON;TYPCT;CHEFLIEU;TNCC;ARTMAJ;NCC;ARTMIN;NCCENR
82;01;1;01;1;01004;1;;AMBERIEU-EN-BUGEY;;Ambérieu-en-Bugey
82;01;2;02;1;01026;0;;BAGE-LE-CHATEL;;Bâgé-le-Châtel
82;01;4;03;1;01033;0;;BELLEGARDE-SUR-VALSERINE;;Bellegarde-sur-Valserine
82;01;1;04;1;01034;0;;BELLEY;;Belley
82;01;2;05;4;01053;0;;BOURG-EN-BRESSE-EST;;Bourg-en-Bresse-Est
82;01;4;06;1;01060;0;;BRENOD;;Brénod
82;01;2;07;1;01072;0;;CEYZERIAT;;Ceyzériat
82;01;2;08;1;01074;0;;CHALAMONT;;Chalamont
82;01;1;09;1;01079;0;;CHAMPAGNE-EN-VALROMEY;;Champagne-en-Valromey
82;01;2;10;1;01093;0;;CHATILLON-SUR-CHALARONNE;;Châtillon-sur-Chalaronne
82;01;2;11;1;01108;0;;COLIGNY;;Coligny
82;01;3;12;1;01109;0;;COLLONGES;;Collonges
82;01;3;13;1;01160;0;;FERNEY-VOLTAIRE;;Ferney-Voltaire
82;01;3;14;1;01173;0;;GEX;;Gex
82;01;1;15;1;01185;1;;HAUTEVILLE-LOMPNES;;Hauteville-Lompnes
82;01;4;16;1;01192;1;;IZERNORE;;Izernore
82;01;1;17;1;01202;0;;LAGNIEU;;Lagnieu
82;01;1;18;1;01216;0;;LHUIS;;Lhuis
82;01;2;19;1;01244;0;;MEXIMIEUX;;Meximieux
82;01;2;20;1;01262;0;;MONTLUEL;;Montluel
82;01;2;21;1;01266;0;;MONTREVEL-EN-BRESSE;;Montrevel-en-Bresse
82;01;4;22;1;01269;0;;NANTUA;;Nantua
82;01;4;23;2;01283;1;;OYONNAX-NORD;;Oyonnax-Nord
82;01;4;24;1;01303;0;;PONCIN;;Poncin
82;01;2;25;1;01304;0;;PONT-D'AIN;;Pont-d'Ain
82;01;2;26;1;01305;0;;PONT-DE-VAUX;;Pont-de-Vaux
82;01;2;27;1;01306;0;;PONT-DE-VEYLE;;Pont-de-Veyle
82;01;1;28;1;01384;0;;SAINT-RAMBERT-EN-BUGEY;;Saint-Rambert-en-Bugey
82;01;2;29;1;01388;0;;SAINT-TRIVIER-DE-COURTES;;Saint-Trivier-de-Courtes
82;01;2;30;1;01389;0;;SAINT-TRIVIER-SUR-MOIGNANS;;Saint-Trivier-sur-Moignans
82;01;1;31;1;01407;0;;SEYSSEL;;Seyssel
82;01;2;32;1;01420;0;;THOISSEY;;Thoissey
82;01;2;33;1;01426;0;;TREFFORT-CUISIAT;;Treffort-Cuisiat
82;01;2;34;1;01427;0;;TREVOUX;;Trévoux
82;01;2;35;1;01443;0;;VILLARS-LES-DOMBES;;Villars-les-Dombes
82;01;1;36;1;01452;0;;VIRIEU-LE-GRAND;;Virieu-le-Grand
82;01;2;37;4;01053;0;;BOURG-EN-BRESSE-NORD-CENTRE;;Bourg-en-Bresse-Nord-Centre
82;01;2;38;4;01053;0;;BOURG-EN-BRESSE-SUD;;Bourg-en-Bresse-Sud
82;01;2;39;1;01289;0;;PERONNAS;;Péronnas
82;01;2;40;1;01249;0;;MIRIBEL;;Miribel
82;01;4;41;2;01283;1;;OYONNAX-SUD;;Oyonnax-Sud
82;01;2;42;1;01322;0;;REYRIEUX;;Reyrieux
82;01;2;43;1;01451;0;;VIRIAT;;Viriat
22;02;2;01;1;02018;1;;ANIZY-LE-CHATEAU;;Anizy-le-Château
22;02;5;02;1;02031;1;;AUBENTON;;Aubenton
22;02;3;03;1;02095;0;;BOHAIN-EN-VERMANDOIS;;Bohain-en-Vermandois
22;02;4;04;1;02110;0;;BRAINE;;Braine
22;02;5;05;1;02141;3;(LA);CAPELLE;(La);Capelle
22;02;3;06;1;02143;2;(LE);CATELET;(Le);Catelet
22;02;1;07;1;02163;0;;CHARLY-SUR-MARNE;;Charly-sur-Marne
22;02;1;08;1;02168;0;;CHATEAU-THIERRY;;Château-Thierry
22;02;2;09;1;02173;0;;CHAUNY;;Chauny
22;02;1;10;1;02209;0;;CONDE-EN-BRIE;;Condé-en-Brie
22;02;2;11;1;02217;0;;COUCY-LE-CHATEAU-AUFFRIQUE;;Coucy-le-Château-Auffrique
22;02;2;12;1;02234;0;;CRAONNE;;Craonne
22;02;2;13;1;02237;0;;CRECY-SUR-SERRE;;Crécy-sur-Serre
22;02;2;14;1;02304;3;(LA);FERE;(La);Fère
22;02;1;15;1;02305;0;;FERE-EN-TARDENOIS;;Fère-en-Tardenois
22;02;5;16;1;02361;0;;GUISE;;Guise
22;02;5;17;1;02381;1;;HIRSON;;Hirson
22;02;2;18;2;02408;0;;LAON-NORD;;Laon-Nord
22;02;2;19;1;02468;0;;MARLE;;Marle
22;02;3;20;1;02532;0;;MOY-DE-L'AISNE;;Moÿ-de-l'Aisne
22;02;2;21;1;02541;0;;NEUFCHATEL-SUR-AISNE;;Neufchâtel-sur-Aisne
22;02;1;22;1;02543;0;;NEUILLY-SAINT-FRONT;;Neuilly-Saint-Front
22;02;5;23;1;02558;2;(LE);NOUVION-EN-THIERACHE;(Le);Nouvion-en-Thiérache
22;02;4;24;1;02580;1;;OULCHY-LE-CHATEAU;;Oulchy-le-Château
22;02;3;25;1;02648;0;;RIBEMONT;;Ribemont
22;02;2;26;1;02666;0;;ROZOY-SUR-SERRE;;Rozoy-sur-Serre
22;02;5;27;1;02668;0;;SAINS-RICHAUMONT;;Sains-Richaumont
22;02;3;28;4;02691;0;;SAINT-QUENTIN-CENTRE;;Saint-Quentin-Centre
22;02;3;29;1;02694;0;;SAINT-SIMON;;Saint-Simon
22;02;2;30;1;02720;0;;SISSONNE;;Sissonne
22;02;4;31;2;02722;0;;SOISSONS-NORD;;Soissons-Nord
22;02;4;32;1;02758;0;;VAILLY-SUR-AISNE;;Vailly-sur-Aisne
22;02;3;33;1;02785;0;;VERMAND;;Vermand
22;02;5;34;1;02789;0;;VERVINS;;Vervins
22;02;4;35;1;02795;0;;VIC-SUR-AISNE;;Vic-sur-Aisne
22;02;4;36;1;02810;0;;VILLERS-COTTERETS;;Villers-Cotterêts
22;02;5;37;1;02830;0;;WASSIGNY;;Wassigny
22;02;2;38;2;02408;0;;LAON-SUD;;Laon-Sud
22;02;3;39;2;02691;0;;SAINT-QUENTIN-NORD;;Saint-Quentin-Nord
22;02;3;40;2;02691;0;;SAINT-QUENTIN-SUD;;Saint-Quentin-Sud
22;02;4;41;2;02722;0;;SOISSONS-SUD;;Soissons-Sud
22;02;2;42;1;02738;0;;TERGNIER;;Tergnier
83;03;2;01;1;03036;0;;BOURBON-L'ARCHAMBAULT;;Bourbon-l'Archambault
83;03;1;02;1;03048;0;;CERILLY;;Cérilly
83;03;2;03;1;03053;0;;CHANTELLE;;Chantelle
83;03;2;04;1;03074;0;;CHEVAGNES;;Chevagnes
83;03;1;05;1;03082;0;;COMMENTRY;;Commentry
83;03;3;06;2;03095;0;;CUSSET-NORD;;Cusset-Nord
83;03;2;07;1;03102;0;;DOMPIERRE-SUR-BESBRE;;Dompierre-sur-Besbre
83;03;3;08;1;03103;2;(LE);DONJON;(Le);Donjon
83;03;1;09;1;03107;1;;EBREUIL;;Ébreuil
83;03;3;10;1;03109;1;;ESCUROLLES;;Escurolles
83;03;3;11;1;03118;0;;GANNAT;;Gannat
83;03;1;12;1;03127;1;;HERISSON;;Hérisson
83;03;1;13;1;03128;1;;HURIEL;;Huriel
83;03;3;14;1;03132;0;;JALIGNY-SUR-BESBRE;;Jaligny-sur-Besbre
83;03;3;15;1;03138;0;;LAPALISSE;;Lapalisse
83;03;2;16;1;03155;0;;LURCY-LEVIS;;Lurcy-Lévis
83;03;1;17;1;03161;0;;MARCILLAT-EN-COMBRAILLE;;Marcillat-en-Combraille
83;03;3;18;1;03165;2;(LE);MAYET-DE-MONTAGNE;(Le);Mayet-de-Montagne
83;03;2;19;1;03183;2;(LE);MONTET;(Le);Montet
83;03;1;20;2;03185;0;;MONTLUCON-EST (4E CANTON);;Montluçon-Est (4e Canton)
83;03;1;21;2;03185;0;;MONTLUCON-OUEST (2E CANTON);;Montluçon-Ouest (2e Canton)
83;03;1;22;1;03186;0;;MONTMARAULT;;Montmarault
83;03;2;23;2;03190;0;;MOULINS-SUD;;Moulins-Sud
83;03;2;24;2;03190;0;;MOULINS-OUEST;;Moulins-Ouest
83;03;2;25;1;03197;0;;NEUILLY-LE-REAL;;Neuilly-le-Réal
83;03;2;26;1;03254;0;;SAINT-POURCAIN-SUR-SIOULE;;Saint-Pourçain-sur-Sioule
83;03;2;27;1;03275;0;;SOUVIGNY;;Souvigny
83;03;3;28;1;03298;0;;VARENNES-SUR-ALLIER;;Varennes-sur-Allier
83;03;3;29;4;03310;0;;VICHY-NORD;;Vichy-Nord
83;03;3;30;4;03310;0;;VICHY-SUD;;Vichy-Sud
83;03;1;31;2;03185;0;;MONTLUCON-NORD-EST (1ER CANTON);;Montluçon-Nord-Est (1er Canton)
83;03;1;32;2;03185;0;;MONTLUCON-SUD (3E CANTON);;Montluçon-Sud (3e Canton)
83;03;2;33;1;03321;1;;YZEURE;;Yzeure
83;03;1;34;2;03101;0;;DOMERAT-MONTLUCON-NORD-OUEST;;Domérat-Montluçon-Nord-Ouest
83;03;3;35;2;03095;0;;CUSSET-SUD;;Cusset-Sud
93;04;2;02;1;04008;1;;ANNOT;;Annot
93;04;4;03;1;04018;0;;BANON;;Banon
93;04;1;04;1;04019;0;;BARCELONNETTE;;Barcelonnette
93;04;3;05;1;04022;0;;BARREME;;Barrême
93;04;2;06;1;04039;0;;CASTELLANE;;Castellane
93;04;2;07;1;04061;1;;ALLOS-COLMARS;;Allos-Colmars
